Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Long Run,11/5/23 9:31,FALSE,Davis Running,8.06,594,1:03:56,147,161,3.4,176,187,7:56,7:05,25,26,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:32.9,9,0,1:03:47,1:06:32,33,52
Running,11/4/23 8:28,FALSE,Yolo County Running,5.19,373,0:41:49,136,155,2.9,174,184,8:03,7:17,10,10,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:28.8,6,0,0:41:44,0:44:50,52,62
Running,11/3/23 10:20,FALSE,Davis Running,1.81,135,0:15:40,140,155,2.1,176,187,8:39,7:39,--,--,1.06,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,06:36.8,2,0,0:15:25,0:16:37,38,46
Workout,11/3/23 9:47,FALSE,Davis Running,3.76,274,0:25:07,169,185,3.5,178,200,6:40,4:40,3,3,1.35,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:58.8,13,0,0:25:00,0:25:07,39,46
Running,11/3/23 9:16,FALSE,Davis Running,2.01,150,0:16:12,142,155,2.3,176,186,8:03,7:22,7,3,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:06.4,3,0,0:16:10,0:16:34,39,46
Running,11/2/23 9:25,FALSE,Davis Running,6.16,438,0:50:49,136,149,2.9,174,201,8:15,4:35,13,13,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:30.4,7,0,0:50:26,0:54:45,43,52
Indoor Cycling,11/1/23 10:24,FALSE,Indoor Cycling,0,308,1:05:16,113,140,1.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:15.9,1,0,0:00:00,1:06:39,--,--
Running,10/31/23 10:21,FALSE,Yolo County Running,2.05,159,0:18:51,139,147,2.1,179,188,9:12,7:05,33,35,0.98,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:25.8,3,0,0:18:44,0:22:02,43,72
Workout,10/31/23 9:42,FALSE,Yolo County Running,4.94,360,0:32:43,165,188,3.9,174,202,6:38,5:02,46,52,1.39,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.6,9,0,0:32:25,0:34:21,41,69
Running,10/31/23 9:08,FALSE,Yolo County Running,2.02,157,0:16:03,144,159,2.6,179,188,7:58,7:20,21,18,1.13,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:07.8,3,0,0:15:42,0:16:03,43,72
Long Run,10/29/23 9:39,FALSE,Davis Running,10,751,1:11:55,164,197,4.6,179,188,7:11,6:17,45,48,1.25,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.4,11,0,1:11:44,1:20:26,27,59
Running,10/28/23 8:40,FALSE,Davis Running,5.02,344,0:40:32,133,147,2.6,178,190,8:05,7:18,16,16,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:07.0,6,0,0:40:17,0:43:06,43,52
Running,10/27/23 10:09,FALSE,Yolo County Running,3.03,237,0:35:12,153,179,2.9,126,190,11:36,7:06,--,13,1.7,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,07:22.9,4,0,0:24:51,0:36:24,46,59
Workout,10/27/23 9:31,FALSE,Yolo County Running,5.1,374,0:37:02,157,176,3.4,180,198,7:15,4:57,36,36,1.22,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.2,18,0,0:36:58,0:37:02,41,72
Running,10/27/23 9:10,FALSE,Davis Running,2.01,150,0:16:17,143,163,2.3,175,182,8:07,7:19,13,--,1.13,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.3,3,0,0:16:10,0:17:15,46,59
Running,10/26/23 8:42,FALSE,Davis Running,7.13,499,0:59:07,138,155,3.1,170,201,8:18,4:21,13,13,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:24.3,8,0,0:57:04,1:07:20,43,52
Indoor Cycling,10/25/23 10:36,FALSE,Indoor Cycling,0,366,1:00:04,127,156,2.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.5,1,0,0:00:00,1:03:08,--,--
Running,10/24/23 10:04,FALSE,Davis Running,2.01,162,0:17:53,150,163,2.3,176,188,8:55,7:50,3,3,1.02,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.0,3,0,0:17:44,0:18:26,38,46
Workout,10/24/23 9:38,FALSE,Davis Running,2.03,147,0:16:31,145,177,2.5,136,196,8:08,4:53,--,--,1.31,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:20.1,7,0,0:12:25,0:16:31,39,46
Running,10/24/23 9:05,FALSE,Davis Running,2.03,156,0:16:29,144,173,2.5,174,184,8:08,7:32,7,3,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:14.0,3,0,0:16:24,0:17:13,37,46
Long Run,10/22/23 9:38,FALSE,Yolo County Running,7.05,509,0:57:15,143,157,3.1,178,188,8:07,7:39,26,13,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:23.4,8,0,0:56:58,0:58:27,43,72
Running,10/21/23 16:54,FALSE,Davis Running,4.98,345,0:42:30,129,147,2.5,177,188,8:32,6:57,10,10,1.07,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,08:18.8,5,0,0:42:21,0:46:33,49,59
Running,10/20/23 10:24,FALSE,Davis Running,2.01,159,0:20:15,134,143,2,174,187,10:03,9:02,7,7,0.92,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:09.1,3,0,0:20:14,0:20:31,36,43
Workout,10/20/23 9:48,FALSE,Davis Running,3.07,217,0:23:58,147,177,2.7,144,202,7:49,4:32,5,8,1.36,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.7,12,0,0:19:24,0:23:58,39,46
Running,10/20/23 9:17,FALSE,Davis Running,2.01,150,0:16:21,139,155,2.2,176,187,8:09,7:40,7,3,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.1,3,0,0:16:19,0:16:39,39,46
Running,10/19/23 9:15,FALSE,Davis Running,6.14,446,0:49:17,143,160,3.1,175,198,8:02,4:43,13,13,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:03.8,7,0,0:48:57,0:54:05,43,52
